Experiment,Title,Scale,Beta,Seed,Epoch,Val_Acc,Depth_Ratio,GSI,,,,,,,,,
13,True Baseline Configuration,1,0,123,4,0.913849979,10.81452996,1.016493068,,,,,,,,,
13,True Baseline Configuration,1,0,123,5,0.926467492,11.2633683,1.028989933,,,,,,,,,
13,True Baseline Configuration,1,0,123,6,0.918475417,9.182479712,1.001054755,,,,,,,,,
13,True Baseline Configuration,1,0,123,7,0.913294821,10.41176794,1.067866645,,,,,,,,,
13,True Baseline Configuration,1,0,123,8,0.935642455,11.79886885,1.031612721,,,,,,,,,
13,True Baseline Configuration,1,0,123,9,0.928960657,9.205369269,1.037924069,,,,,,,,,
13,True Baseline Configuration,1,0,123,10,0.93134925,9.312133793,1.010400971,,,,,,,,,
14,True Baseline Configuration,1,0,999,1,0.920047079,8.674474125,1.027151306,,,,,,,,,
14,True Baseline Configuration,1,0,999,2,0.917614466,9.302315224,1.003535012,,,,,,,,,
14,True Baseline Configuration,1,0,999,3,0.927210287,8.540258613,0.939715256,,,,,,,,,
14,True Baseline Configuration,1,0,999,4,0.910339762,9.911446336,0.937399145,,,,,,,,,
14,True Baseline Configuration,1,0,999,5,0.913737541,8.805919294,0.97674772,,,,,,,,,
14,True Baseline Configuration,1,0,999,6,0.923493078,8.686458714,0.994797637,,,,,,,,,
14,True Baseline Configuration,1,0,999,7,0.919963329,9.392082797,0.935394783,,,,,,,,,
14,True Baseline Configuration,1,0,999,8,0.924421493,9.079014554,1.037099989,,,,,,,,,
14,True Baseline Configuration,1,0,999,9,0.913752653,11.32966219,1.02672873,,,,,,,,,
14,True Baseline Configuration,1,0,999,10,0.928917149,11.24380442,0.94929786,,,,,,,,,
15,Activation Slope (Beta) Study,1,0.05,42,1,0.949115505,14.86208873,1.019954943,,,,,,,,,
15,Activation Slope (Beta) Study,1,0.05,42,2,0.930204744,12.50492685,1.130727318,,,,,,,,,
15,Activation Slope (Beta) Study,1,0.05,42,3,0.949084543,14.89158445,1.090694957,,,,,,,,,
15,Activation Slope (Beta) Study,1,0.05,42,4,0.93908395,12.67616458,1.01498242,,,,,,,,,
15,Activation Slope (Beta) Study,1,0.05,42,5,0.946659355,14.49769921,1.098496079,,,,,,,,,
15,Activation Slope (Beta) Study,1,0.05,42,6,0.932828667,13.89025763,1.059789467,,,,,,,,,
15,Activation Slope (Beta) Study,1,0.05,42,7,0.932173238,14.40712873,1.070828877,,,,,,,,,
15,Activation Slope (Beta) Study,1,0.05,42,8,0.941206027,14.46540434,1.006091507,,,,,,,,,
15,Activation Slope (Beta) Study,1,0.05,42,9,0.931178108,15.36578142,1.03474913,,,,,,,,,
15,Activation Slope (Beta) Study,1,0.05,42,10,0.946582783,12.89653644,1.083631778,,,,,,,,,
16,Activation Slope (Beta) Study,1,0.05,123,1,0.939113504,12.15272168,1.107579154,,,,,,,,,
16,Activation Slope (Beta) Study,1,0.05,123,2,0.921688878,14.84177001,1.07846278,,,,,,,,,
16,Activation Slope (Beta) Study,1,0.05,123,3,0.932897077,11.91821602,1.047377264,,,,,,,,,
16,Activation Slope (Beta) Study,1,0.05,123,4,0.938961868,13.11199055,1.110093355,,,,,,,,,
16,Activation Slope (Beta) Study,1,0.05,123,5,0.940146983,15.35764714,1.080845247,,,,,,,,,
16,Activation Slope (Beta) Study,1,0.05,123,6,0.923693322,14.15356528,1.014481592,,,,,,,,,
16,Activation Slope (Beta) Study,1,0.05,123,7,0.942897938,12.11855779,1.07414943,,,,,,,,,
16,Activation Slope (Beta) Study,1,0.05,123,8,0.945349859,13.83577196,1.074862643,,,,,,,,,
16,Activation Slope (Beta) Study,1,0.05,123,9,0.930116235,12.91980844,1.053490166,,,,,,,,,
16,Activation Slope (Beta) Study,1,0.05,123,10,0.928859284,13.29780713,1.115290525,,,,,,,,,
17,Activation Slope (Beta) Study,1,0.05,999,1,0.926591119,11.88944706,1.036902504,,,,,,,,,
17,Activation Slope (Beta) Study,1,0.05,999,2,0.937765529,11.36513318,1.08008938,,,,,,,,,
17,Activation Slope (Beta) Study,1,0.05,999,3,0.928878757,11.23911353,1.068792203,,,,,,,,,
17,Activation Slope (Beta) Study,1,0.05,999,4,0.928209711,13.3170664,1.099421715,,,,,,,,,
17,Activation Slope (Beta) Study,1,0.05,999,5,0.936847307,14.4515955,1.06099132,,,,,,,,,
17,Activation Slope (Beta) Study,1,0.05,999,6,0.92411354,14.2115469,1.040817658,,,,,,,,,
17,Activation Slope (Beta) Study,1,0.05,999,7,0.924433685,12.16739786,1.056537239,,,,,,,,,
17,Activation Slope (Beta) Study,1,0.05,999,8,0.934474766,13.81456915,1.092966939,,,,,,,,,
17,Activation Slope (Beta) Study,1,0.05,999,9,0.938795247,12.28978889,1.094325936,,,,,,,,,
17,Activation Slope (Beta) Study,1,0.05,999,10,0.924779746,13.35472618,1.002774892,,,,,,,,,
18,Activation Slope (Beta) Study,1,0.1,42,1,0.953984,20.66250742,1.198403263,,,,,,,,,
18,Activation Slope (Beta) Study,1,0.1,42,2,0.95794306,19.76252786,1.150113207,,,,,,,,,
18,Activation Slope (Beta) Study,1,0.1,42,3,0.956265574,19.81140007,1.056684189,,,,,,,,,
18,Activation Slope (Beta) Study,1,0.1,42,4,0.953930786,21.75023388,1.126801605,,,,,,,,,
18,Activation Slope (Beta) Study,1,0.1,42,5,0.95252743,18.06413269,1.137165032,,,,,,,,,
